python-v4l2capture 12.0.0-1
qalculate-gtk 3.9.0.a-1
qjackctl 0.6.2-1
qopenvpn 2.0.0-3
qsynth 0.6.2-1
ranger 1.9.3-1
redshift 1.12-3
redshift-adjust 2-1
reiserfsprogs 3.6.27-3
ripgrep 12.0.1-1
ristretto 0.10.0-2
rlwrap 0.43-3
rofi 1.5.4-1
rtorrent 0.9.8-2
ruby-bundler 2.1.4-1
ruby-rake 13.0.1-2
rxvt-unicode 9.22-9
s-nail 14.9.18-1
sakura 3.7.0-1
scons 3.1.2-2
scrot 1.2-1
sddm 0.18.1-2
sed 4.8-1
sendmail 8.15.2-9
shadow 4.8.1-1
skype-call-recorder 0.11-2
skypeforlinux-stable-bin 8.59.0.77-2
slack-desktop 4.4.2-1
snes9x 1.60-6
soundfont-fluid 3.1-2
speedcrunch 0.12.0-2
strongswan 5.8.2-1
sudo 1.8.31.p1-1
sysfsutils 2.1.0-11
systemd-sysvcompat 245.5-2
systemd-ui 3-4
tar 1.32-3
tcpdump 4.9.3-1
terminator 1.92-2
termite 15-1
texinfo 6.7-3
the_silver_searcher 2.2.0-1
thunar 1.8.14-1
thunar-archive-plugin 0.4.0-2
thunar-media-tags-plugin 0.3.0-1
thunar-volman 0.9.5-2
tigervnc 1.10.1-1
tilix 1.9.3-8
timidity++ 2.15.0-2
tk 8.6.10-1
tkpacman 1.9.1-1
tldr 0.5-2
tmate 2.4.0-1
tmux 3.1-1
tokei 11.1.0-1
traceroute 2.1.0-5
transmission-gtk 2.94-2
trayer 1.1.8-1
tree 1.8.0-2
ttf-font-awesome 5.13.0-1
ttf-inconsolata 1:3.000-2
ttf-iosevka 2.3.3-1
ttf-iosevka-term 2.3.3-1
ttf-meslo 1.2.1-1
ttf-monaco 6.1-3
tumbler 0.2.8-1
typespeed 0.6.5-7
udevil 0.4.4-3
unclutter-xfixes-git v1.5.r1.g04e2a94-1
unrar 1:5.9.2-1
unzip 6.0-14
urxvt-perls 2.3-1
usbutils 012-2
util-linux 2.35.1-2
vim 8.2.0510-2
vino 3.22.0+60+gd29a4f2-1
vlc 3.0.10-1
vmpk 0.7.2-1
wget 1.20.3-2
which 2.21-5
wicd 1.7.4-4
wicd-gtk 1.7.4-4
wildmidi 0.4.3-1
wmctrl 1.07-5
words 2.1-5
wpa_supplicant 2:2.9-7
x11-ssh-askpass 1.2.4.1-6
xautomation 1.09-3
xbindkeys 1.8.6-3
xbindkeys_config-gtk2 0.1.3-4
xboxdrv 0.8.8-5
xclip 0.13-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xdo 0.5.7-1
xdotool 3.20160805.1-2
xf86-input-libinput 0.29.0-2
xf86-input-synaptics 1.9.1-1
xf86-input-vmmouse 13.1.0-4
xf86-input-void 1.4.1-4
xf86-video-ati 1:19.1.0-1
xf86-video-dummy 0.3.8-3
xf86-video-fbdev 0.5.0-1
xf86-video-intel 1:2.99.917+906+g846b53da-1
xf86-video-nouveau 1.0.16-1
xf86-video-openchrome 0.6.0-3
xf86-video-vesa 2.4.0-2
xf86-video-vmware 13.3.0-1
xf86-video-voodoo 1.2.5-10
xfsprogs 5.6.0-1
xkeycaps 2.46-8
xmms2 0.8DrO_o.949.gca15e830-19
xorg-docs 1.7.1-2
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-server 1.20.8-1
xorg-server-xephyr 1.20.8-1
xorg-sessreg 1.1.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xbacklight 1.2.3-1
xorg-xclock 1.0.9-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xsel 1.2.0.20190821-1
xterm 354-1
yarn 1.22.4-1
yay-bin 9.4.6-1
zathura 0.4.5-1
zathura-pdf-poppler 0.3.0-1
zeal 1:0.6.1-1
zenity 3.32.0+17+gfb0938f-1
zip 3.0-9
zoom 5.0.398100.0427-1
zsh-autosuggestions 0.6.4-1
zsh-completions 0.31.0-1
zsh-doc 5.8-1
zsh-syntax-highlighting 0.7.1-1
zynaddsubfx 3.0.5-1
